date	title	subtitle	url	file	chars
2021-05-11	A blog for those teaching and learning web literacy		https://mikecaulfield.substack.com/p/coming-soon	by/2021--substack-coming-soon.md	740
2021-05-13	Stranger than fiction		https://mikecaulfield.substack.com/p/stranger-than-fiction	by/2021--substack-stranger-than-fiction.md	5031
2021-05-14	Ancient aliens		https://mikecaulfield.substack.com/p/ancient-aliens	by/2021--substack-ancient-aliens.md	7854
2021-05-14	Propane vulture cannon		https://mikecaulfield.substack.com/p/propane-vulture-cannon	by/2021--substack-propane-vulture-cannon.md	4362
2021-05-17	Tracked by solar key-rings		https://mikecaulfield.substack.com/p/tracked-by-solar-key-rings	by/2021--substack-tracked-by-solar-key-rings.md	6363
2021-05-18	The unluckiest lucky people		https://mikecaulfield.substack.com/p/the-unluckiest-lucky-people	by/2021--substack-the-unluckiest-lucky-people.md	5799
2021-05-19	Who's asserting what?		https://mikecaulfield.substack.com/p/whos-asserting-what	by/2021--substack-whos-asserting-what.md	6115
2021-06-10	Using a "lens test" to escape a data void	OK, it's essentially just a little personal A/B test, but I like this metaphor so don't judge	https://mikecaulfield.substack.com/p/using-a-lens-test-to-escape-a-data	by/2021--substack-using-a-lens-test-to-escape-a-data.md	5447
2021-06-10	Teach Information Architecture If You Care About Trust	Oceanography and the importance of teaching information architecture	https://mikecaulfield.substack.com/p/teach-information-architecture-if	DUPLICATE of by/2021--hapgood-teach-information-architecture-if-you-care-about-trust.md	3646
2023-04-13	Get basic context first and the right questions will come to you	The reason why SIFT puts the "doing up front" and the questions later.	https://mikecaulfield.substack.com/p/get-basic-context-first-and-the-right	by/2023--substack-get-basic-context-first-and-the-right.md	5417
2023-05-17	The Summary Problem, or why AI in search is attractive	Don't worry, we'll get to the downsides soon enough	https://mikecaulfield.substack.com/p/the-summary-problem-or-why-ai-in	by/2023--substack-the-summary-problem-or-why-ai-in.md	11158
2023-05-20	Calculating inflation with ChatGPT	An investigation with help from Katie Caulfield	https://mikecaulfield.substack.com/p/calculating-inflation-with-chatgpt	by/2023--substack-calculating-inflation-with-chatgpt.md	11040
