date	wp_post_id	title	url	text_chars	file
2026-08-13	19325	Prompt Debt and “Fighting the Weights”	https://www.oreilly.com/radar/prompt-debt-and-fighting-the-weights/	18046	by/2026--radar-prompt-debt-and-fighting-the-weights.md
2026-08-10	19315	Why Open Source Matters for AI	https://www.oreilly.com/radar/why-open-source-matters-for-ai/	13010	by/2026--radar-why-open-source-matters-for-ai.md
2026-07-31	19257	AI as an Enterprise Operating System	https://www.oreilly.com/radar/ai-as-an-enterprise-operating-system/	22287	by/2026--radar-ai-as-an-enterprise-operating-system.md
2026-07-24	19208	Stranded in the Slow Zone	https://www.oreilly.com/radar/stranded-in-the-slow-zone/	19205	by/2026--radar-stranded-in-the-slow-zone.md
2026-07-07	19027	Ordinary Engineers, Not Heroic Inventors	https://www.oreilly.com/radar/ordinary-engineers-not-heroic-inventors/	23772	by/2026--radar-ordinary-engineers-not-heroic-inventors.md
2026-06-29	18980	What You Bring to AI Determines the Result	https://www.oreilly.com/radar/what-you-bring-to-ai-determines-the-result/	12280	by/2026--radar-what-you-bring-to-ai-determines-the-result.md
2026-06-04	18849	The Tidy House	https://www.oreilly.com/radar/the-tidy-house/	17390	by/2026--radar-the-tidy-house.md
2026-06-01	18818	AI Sovereignty and the Architecture of Participation	https://www.oreilly.com/radar/ai-sovereignty-and-the-architecture-of-participation/	13651	by/2026--radar-ai-sovereignty-and-the-architecture-of-participation.md
2026-05-13	18706	Ryan Carson Is a One-Person Code Factory	https://www.oreilly.com/radar/ryan-carson-is-a-one-person-code-factory/	12251	by/2026--radar-ryan-carson-is-a-one-person-code-factory.md
2026-04-30	18622	Everyone’s an Engineer Now	https://www.oreilly.com/radar/everyones-an-engineer-now/	8812	by/2026--radar-everyones-an-engineer-now.md
2026-04-20	18531	Scenario Planning for AI and the “Jobless Future”	https://www.oreilly.com/radar/scenario-planning-for-ai-and-the-jobless-future/	32680	by/2026--radar-scenario-planning-for-ai-and-the-jobless-future.md
2026-04-07	18468	The World Needs More Software Engineers	https://www.oreilly.com/radar/the-world-needs-more-software-engineers/	11170	by/2026--radar-the-world-needs-more-software-engineers.md
2026-04-01	18405	“Conviction Collapse” and the End of Software as We Know It	https://www.oreilly.com/radar/conviction-collapse-and-the-end-of-software-as-we-know-it/	12863	by/2026--radar-conviction-collapse-and-the-end-of-software-as-we-know-it.md
2026-03-23	18318	The Missing Mechanisms of the Agentic Economy	https://www.oreilly.com/radar/the-missing-mechanisms-of-the-agentic-economy/	27434	by/2026--radar-the-missing-mechanisms-of-the-agentic-economy.md
