date	title	byline	url
2026-08-10	Gathering As a Team	Esther Orudiakumo	https://www.system.com/blog/gathering-as-a-team
2026-07-22	System Health's Differential Diagnosis Algorithm Achieves Industry-Leading Performance	Chethan Gangireddy, M.D., Ziquan Fu	https://www.system.com/blog/system-healths-differential-diagnosis-algorithm-achieves-industry-leading-performance
2026-06-26	Remembering Om Malik	Adam Bly	https://www.system.com/blog/remembering-om-malik
2026-06-25	System Joins Coalition for Health AI (CHAI)		https://www.system.com/blog/system-joins-coalition-for-health-ai-chai
2026-06-17	System Health Leads the Industry in Accuracy on MedQA	David Kang, Eugénie Dulout	https://www.system.com/blog/system-health-leads-industry-accuracy-medqa
2026-06-11	What We Heard at PlatforMed 2026	Josh Kalscheur	https://www.system.com/blog/what-we-heard-at-platformed-2026
2026-06-04	System’s Work on AI-ready Clinical Data Lands at ICML 2026	Valentina Bui Muti, Eugenie Dulout, Ziquan Fu	https://www.system.com/blog/systems-work-on-ai-ready-clinical-data-lands-at-icml-2026
2026-03-23	2025 Public Benefit Report	Esther Orudiakumo	https://www.system.com/blog/2025-public-benefit-report
2026-03-17	Welcoming Tariq Khokhar as VP Public Benefit		https://www.system.com/blog/welcoming-tariq-khokhar-as-vp-public-benefit
2026-03-10	Context Matters: Synthesize API Now Integrates with EHRs for Full Clinical Context	Chethan Gangireddy, M.D., Patrick Wedlock, Eugenie Dulout	https://www.system.com/blog/context-matters
2025-12-16	System Awarded $6.5M Program-Related Investment from Wellcome		https://www.system.com/blog/system-awarded-6-5m-program-related-investment-from-wellcome
2025-12-11	System Synthesize Scores 100% on United States Medical Licensing Examination (USMLE)	Chethan Gangireddy, M.D., Eugenie Dulout	https://www.system.com/blog/system-synthesize-scores-100-on-united-states-medical-licensing-examination-usmle-step-1-2-ck-and-3
2025-10-07	Comparing LLM-Based Foundation Models and the System Graph		https://www.system.com/blog/comparing-llm-based-foundation-models-and-the-system-graph
2025-10-02	System’s Evidence Synthesis Leads in Accuracy	Patrick Wedlock	https://www.system.com/blog/systems-evidence-synthesis-leads-in-accuracy
2025-10-02	Welcoming Dr. Chethan Gangireddy to System as Medical Director	Adam Bly	https://www.system.com/blog/welcoming-dr-chethan-gangireddy
2025-09-15	System Teams Up with Cornell Tech for Climate Week Hackathon		https://www.system.com/blog/system-teams-up-with-cornell-tech-for-climate-week-hackathon
2025-05-29	Adam Bly Keynotes at NIH Knowledge Graph Conference		https://www.system.com/blog/adam-bly-keynotes-at-nih-knowledge-graph-conference
